session_id	session_notes	protocol_check	manufacturer_model	software_version
ses-01	ASL inconsistencies: | PhaseEncodingDirection of PASL-PRODUCT_PLD-2750 is *DIFFERENT*: j- j	/nifti/BIDSQC-AACAZ/currjson/sub-HML0301_ses-01_acq-prod_asl.json::PhaseEncodingDirection is *DIFFERENT*: j- j |	Skyra	syngo MR E11
ses-02	ASL now acquired in the correct direction	HML0301/nifti/BIDSQC-AACAZ/origjson/ses-SESSION001_FLAIR.json json file not found. | HML0301/nifti/BIDSQC-AACAZ/origjson/ses-SESSION001_acq-hippo_T2w.json json file not found. | HML0301/nifti/BIDSQC-AACAZ/origjson/ses-SESSION001_dir-PA_epi.json json file not found. | HML0301/nifti/BIDSQC-AACAZ/origjson/ses-SESSION001_dwi.json json file not found. | HML0301/nifti/BIDSQC-AACAZ/origjson/ses-SESSION001_task-rest_bold.json json file not found. | bval not found. | bvec not found. |	Skyra	syngo MR E11
